time,select
2022-06-23 08:00:00+08:00,ETH
2022-06-24 08:00:00+08:00,ETH
2022-06-25 08:00:00+08:00,ETH
2022-06-26 08:00:00+08:00,BTC
2022-06-27 08:00:00+08:00,ETH
2022-06-28 08:00:00+08:00,BTC
2022-06-29 08:00:00+08:00,BTC
2022-06-30 08:00:00+08:00,BTC
2022-07-01 08:00:00+08:00,ETH
2022-07-02 08:00:00+08:00,ETH
2022-07-03 08:00:00+08:00,ETH
2022-07-04 08:00:00+08:00,ETH
2022-07-05 08:00:00+08:00,BTC
2022-07-06 08:00:00+08:00,ETH
2022-07-07 08:00:00+08:00,BTC
2022-07-08 08:00:00+08:00,BTC
2022-07-09 08:00:00+08:00,ETH
2022-07-10 08:00:00+08:00,BTC
2022-07-11 08:00:00+08:00,BTC
2022-07-12 08:00:00+08:00,BTC
2022-07-13 08:00:00+08:00,ETH
2022-07-14 08:00:00+08:00,ETH
2022-07-15 08:00:00+08:00,ETH
2022-07-16 08:00:00+08:00,ETH
2022-07-17 08:00:00+08:00,ETH
2022-07-18 08:00:00+08:00,ETH
2022-07-19 08:00:00+08:00,BTC
2022-07-20 08:00:00+08:00,BTC
2022-07-21 08:00:00+08:00,ETH
2022-07-22 08:00:00+08:00,BTC
2022-07-23 08:00:00+08:00,ETH
2022-07-24 08:00:00+08:00,ETH
2022-07-25 08:00:00+08:00,BTC
2022-07-26 08:00:00+08:00,ETH
2022-07-27 08:00:00+08:00,ETH
2022-07-28 08:00:00+08:00,ETH
2022-07-29 08:00:00+08:00,ETH
2022-07-30 08:00:00+08:00,BTC
2022-07-31 08:00:00+08:00,ETH
2022-08-01 08:00:00+08:00,BTC
2022-08-02 08:00:00+08:00,ETH
2022-08-03 08:00:00+08:00,BTC
2022-08-04 08:00:00+08:00,ETH
2022-08-05 08:00:00+08:00,ETH
2022-08-06 08:00:00+08:00,BTC
2022-08-07 08:00:00+08:00,BTC
2022-08-08 08:00:00+08:00,ETH
2022-08-09 08:00:00+08:00,BTC
2022-08-10 08:00:00+08:00,ETH
2022-08-11 08:00:00+08:00,ETH
2022-08-12 08:00:00+08:00,ETH
2022-08-13 08:00:00+08:00,ETH
2022-08-14 08:00:00+08:00,BTC
2022-08-15 08:00:00+08:00,BTC
2022-08-16 08:00:00+08:00,BTC
2022-08-17 08:00:00+08:00,BTC
2022-08-18 08:00:00+08:00,ETH
2022-08-19 08:00:00+08:00,BTC
2022-08-20 08:00:00+08:00,BTC
2022-08-21 08:00:00+08:00,ETH
2022-08-22 08:00:00+08:00,ETH
2022-08-23 08:00:00+08:00,ETH
2022-08-24 08:00:00+08:00,ETH
2022-08-25 08:00:00+08:00,ETH
2022-08-26 08:00:00+08:00,BTC
2022-08-27 08:00:00+08:00,BTC
2022-08-28 08:00:00+08:00,BTC
2022-08-29 08:00:00+08:00,ETH
2022-08-30 08:00:00+08:00,ETH
2022-08-31 08:00:00+08:00,ETH
2022-09-01 08:00:00+08:00,ETH
2022-09-02 08:00:00+08:00,ETH
2022-09-03 08:00:00+08:00,BTC
2022-09-04 08:00:00+08:00,ETH
2022-09-05 08:00:00+08:00,ETH
2022-09-06 08:00:00+08:00,ETH
2022-09-07 08:00:00+08:00,ETH
2022-09-08 08:00:00+08:00,ETH
2022-09-09 08:00:00+08:00,BTC
2022-09-10 08:00:00+08:00,ETH
